tiempo,braquial,tibial
199551,2.341935,2.080645
199551,2.345161,2.1
199551,2.345161,2.122581
199552,2.348387,2.141935
199552,2.406452,2.187097
199553,2.406452,2.183871
199553,2.396774,2.158064
199553,2.403226,2.119355
199554,2.403226,2.070968
199554,2.4,2.051613
199554,2.390323,2.070968
199555,2.354839,2.070968
199555,2.377419,2.106452
199556,2.351613,2.093548
199556,2.370968,2.054839
199556,2.387097,2.009677
199557,2.406452,1.970968
199557,2.412903,1.974194
199557,2.419355,1.980645
199558,2.409678,2.019355
199558,2.387097,2.067742
199559,2.383871,2.109677
199559,2.322581,2.1
199559,2.319355,2.106452
199560,2.312903,2.096774
199560,2.316129,2.067742
199560,2.316129,2.041935
199561,2.306452,2.032258
199561,2.345161,2.016129
199562,2.348387,2.032258
199590,2.364516,2.019355
199610,2.390323,2.041935
199630,2.370968,2.054839
199650,2.374194,2.074193
199671,2.377419,2.077419
199690,2.387097,2.074193
199710,2.393548,2.067742
199730,2.390323,2.064516
199750,2.383871,2.064516
199771,2.374194,2.058064
199790,2.422581,2.103226
199810,2.409678,2.1
199830,2.406452,2.1
199850,2.403226,2.096774
199870,2.383871,2.090322
199890,2.36129,2.070968
199910,2.36129,2.054839
199930,2.341935,2.012903
199950,2.329032,2.009677
199971,2.303226,2.009677
199990,2.312903,2.032258
200010,2.306452,2.048387
200030,2.309677,2.058064
200050,2.319355,2.041935
200070,2.33871,2.012903
200090,2.325806,1.980645
200130,2.364516,1.964516
200150,2.370968,1.964516
200170,2.316129,1.93871
200190,2.312903,1.970968
200210,2.3,2.012903
200230,2.296774,2.06129
200250,2.316129,2.090322
200270,2.329032,2.112903
200290,2.309677,2.119355
200310,2.309677,2.106452
200330,2.306452,2.116129
200350,2.322581,2.077419
200370,2.312903,2.048387
200390,2.309677,2.029032
200410,2.319355,2.029032
200430,2.312903,2.03871
200450,2.319355,2.054839
200470,2.309677,2.080645
200490,2.306452,2.1
200510,2.348387,2.13871
200530,2.345161,2.141935
200550,2.335484,2.13871
200570,2.335484,2.129032
200590,2.325806,2.109677
200610,2.309677,2.1
200630,2.290323,2.087097
200650,2.277419,2.070968
200670,2.274194,2.054839
200690,2.267742,2.058064
200710,2.267742,2.051613
200730,2.267742,2.058064
200750,2.277419,2.06129
200770,2.287097,2.054839
200790,2.290323,2.032258
200810,2.290323,2.022581
200850,2.293548,2.019355
200870,2.283871,2.025806
200890,2.235484,1.993548
200910,2.245161,1.993548
200930,2.258065,1.980645
200950,2.287097,1.951613
200970,2.306452,1.93871
200990,2.329032,1.941935
201010,2.348387,1.945161
201030,2.341935,1.996774
201050,2.341935,2.032258
201070,2.322581,2.080645
201090,2.332258,2.119355
201110,2.332258,2.141935
201130,2.319355,2.13871
201150,2.303226,2.125806
201170,2.3,2.109677
201190,2.293548,2.087097
201210,2.296774,2.058064
201230,2.290323,2.029032
201250,2.348387,2.051613
201271,2.335484,2.054839
201290,2.332258,2.051613
201310,2.335484,2.077419
201330,2.329032,2.093548
201350,2.370968,2.145161
201370,2.322581,2.103226
201390,2.290323,2.080645
201410,2.287097,2.051613
201430,2.283871,2.022581
201450,2.296774,2.009677
201470,2.274194,2.009677
201490,2.283871,2.022581
201510,2.258065,2.032258
201530,2.283871,2.035484
201550,2.287097,2.032258
201590,2.280645,2.032258
201610,2.296774,2.029032
201630,2.232258,1.987097
201650,2.235484,2.003226
201670,2.23871,2.025806
201690,2.251613,2.035484
201710,2.277419,2.035484
201730,2.277419,2.041935
201750,2.277419,2.041935
201770,2.277419,2.03871
201790,2.306452,2.074193
201810,2.296774,2.096774
201830,2.319355,2.103226
201850,2.33871,2.083871
201870,2.354839,2.041935
201890,2.393548,2.012903
201910,2.387097,1.996774
201930,2.390323,2
201950,2.383871,2.025806
201970,2.390323,2.106452
201990,2.425807,2.13871
202010,2.412903,2.187097
202030,2.409678,2.174194
202050,2.390323,2.174194
202070,2.396774,2.148387
202090,2.364516,2.1
202110,2.325806,2.070968
202130,2.312903,2.045161
202150,2.316129,2.016129
202170,2.306452,2
202190,2.296774,2
202210,2.312903,2.009677
202230,2.306452,2.022581
202250,2.319355,2.03871
202270,2.306452,2.045161
202310,2.296774,2.048387
202330,2.303226,2.041935
202350,2.248387,1.980645
202370,2.232258,1.964516
202390,2.245161,1.948387
202410,2.245161,1.948387
202430,2.23871,1.948387
202450,2.26129,1.96129
202470,2.274194,1.96129
202490,2.277419,1.974194
202510,2.293548,1.983871
202530,2.303226,1.990323
202550,2.274194,1.993548
202570,2.290323,2.019355
202590,2.290323,2.048387
202610,2.296774,2.064516
202630,2.296774,2.067742
202650,2.293548,2.083871
202670,2.3,2.109677
202690,2.312903,2.164516
202710,2.367742,2.245161
202730,2.380645,2.26129
202750,2.4,2.245161
202770,2.406452,2.209677
202790,2.406452,2.151613
202810,2.396774,2.116129
202830,2.383871,2.096774
202850,2.383871,2.1
202870,2.348387,2.13871
202890,2.319355,2.177419
202910,2.332258,2.216129
202930,2.329032,2.225806
202950,2.316129,2.225806
202970,2.306452,2.193548
202990,2.293548,2.151613
203010,2.274194,2.109677
203050,2.287097,2.077419
203070,2.283871,2.058064
203090,2.235484,2.009677
203110,2.245161,2.029032
203130,2.245161,2.035484
203150,2.245161,2.045161
203170,2.264516,2.070968
203190,2.270968,2.087097
203210,2.264516,2.087097
203230,2.287097,2.080645
203250,2.296774,2.051613
203270,2.319355,2.041935
203290,2.3,2.022581
203310,2.303226,2.016129
203330,2.303226,2.019355
203350,2.283871,2.032258
203370,2.303226,2.048387
203390,2.316129,2.074193
203410,2.312903,2.093548
203430,2.319355,2.151613
203450,2.377419,2.151613
203470,2.374194,2.129032
203490,2.374194,2.112903
203510,2.370968,2.090322
203530,2.341935,2.022581
203550,2.348387,1.996774
203570,2.351613,1.990323
203590,2.322581,1.987097
203610,2.303226,2.012903
203630,2.312903,2.019355
203650,2.329032,2.022581
203670,2.345161,1.987097
203690,2.345161,1.945161
203710,2.364516,1.912903
203730,2.370968,1.916129
203770,2.370968,1.967742
203790,2.36129,2.045161
203810,2.287097,2.077419
203830,2.290323,2.151613
203850,2.277419,2.187097
203870,2.280645,2.203226
203890,2.267742,2.216129
203910,2.277419,2.203226
203931,2.267742,2.180645
203950,2.287097,2.16129
203970,2.274194,2.145161
203990,2.277419,2.145161
204010,2.283871,2.148387
204030,2.283871,2.16129
204050,2.283871,2.177419
204070,2.277419,2.190323
204090,2.274194,2.193548
204110,2.270968,2.183871
204130,2.267742,2.167742
204150,2.267742,2.151613
204170,2.312903,2.177419
204190,2.316129,2.164516
204210,2.309677,2.145161
204230,2.312903,2.13871
204250,2.267742,2.122581
204270,2.274194,2.109677
204290,2.26129,2.122581
204310,2.26129,2.093548
204330,2.26129,2.070968
204350,2.251613,2.035484
204370,2.248387,2.032258
204390,2.251613,2.032258
204410,2.251613,2.045161
204430,2.251613,2.064516
204450,2.254839,2.070968
204490,2.267742,2.051613
204510,2.277419,2.003226
204530,2.293548,1.96129
204550,2.248387,1.9
204570,2.274194,1.903226
204590,2.270968,1.922581
204610,2.270968,1.974194
204630,2.26129,2.035484
204650,2.267742,2.074193
204670,2.26129,2.080645
204690,2.274194,2.090322
204710,2.235484,2.070968
204730,2.26129,2.054839
204750,2.248387,2.035484
204770,2.258065,2.025806
204790,2.245161,2.009677
204810,2.23871,1.993548
204830,2.241935,1.983871
204850,2.241935,1.993548
204870,2.248387,2.006452
204890,2.322581,2.064516
204910,2.3,2.070968
204930,2.3,2.083871
204950,2.290323,2.103226
204970,2.3,2.087097
204990,2.280645,2.087097
205010,2.267742,2.077419
205030,2.264516,2.06129
205050,2.241935,2.054839
205070,2.241935,2.045161
205090,2.251613,2.03871
205110,2.254839,2.03871
205130,2.254839,2.035484
205150,2.245161,2.025806
205171,2.248387,2.009677
205190,2.26129,1.996774
205230,2.264516,1.970968
205250,2.264516,1.977419
205270,2.209677,1.945161
205290,2.232258,1.945161
205310,2.248387,1.925806
205330,2.277419,1.912903
205350,2.3,1.890323
205370,2.329032,1.864516
205390,2.329032,1.883871
205410,2.348387,1.912903
205430,2.341935,1.96129
205450,2.354839,2.012903
205470,2.354839,2.051613
205490,2.348387,2.070968
205510,2.348387,2.083871
205530,2.33871,2.093548
205550,2.329032,2.083871
205570,2.329032,2.083871
205590,2.329032,2.064516
205610,2.332258,2.035484
205630,2.390323,2.035484
205650,2.390323,2.019355
205670,2.377419,2.009677
205690,2.383871,2.022581
205710,2.351613,2.032258
205730,2.36129,2.041935
205750,2.351613,2.051613
205770,2.341935,2.029032
205790,2.351613,2.025806
205810,2.351613,1.996774
205830,2.348387,2
205850,2.354839,2
205870,2.364516,2.003226
205890,2.390323,2.009677
205910,2.406452,2.012903
205950,2.429032,2.019355
205970,2.445161,2.035484
205990,2.46129,1.974194
206010,2.416129,1.983871
206030,2.409678,1.980645
206050,2.393548,1.977419
206070,2.387097,1.964516
206090,2.387097,1.993548
206110,2.383871,2.003226
206130,2.383871,2
206150,2.406452,1.993548
206170,2.419355,1.967742
206190,2.429032,1.974194
206210,2.422581,1.983871
206230,2.396774,2.006452
206250,2.390323,2.051613
206270,2.354839,2.096774
206290,2.370968,2.141935
206310,2.348387,2.177419
206330,2.341935,2.190323
206350,2.380645,2.232258
206370,2.370968,2.212903
206390,2.364516,2.177419
206410,2.364516,2.158064
206430,2.348387,2.125806
206450,2.332258,2.1
206470,2.316129,2.080645
206490,2.332258,2.067742
206510,2.312903,2.074193
206530,2.290323,2.074193
206550,2.3,2.074193
206570,2.303226,2.074193
206590,2.270968,2.074193
206610,2.3,2.067742
206630,2.296774,2.058064
206670,2.296774,2.041935
206690,2.293548,2.035484
206710,2.293548,2.032258
206730,2.225806,1.996774
206750,2.241935,2.009677
206770,2.225806,2.025806
206790,2.23871,2.035484
206810,2.258065,2.045161
206830,2.274194,2.064516
206850,2.270968,2.067742
206870,2.303226,2.067742
206890,2.290323,2.064516
206910,2.287097,2.06129
206930,2.306452,2.067742
206950,2.306452,2.070968
206970,2.306452,2.080645
206990,2.329032,2.090322
207010,2.325806,2.077419
207030,2.345161,2.048387
207050,2.364516,2.009677
207070,2.383871,1.990323
207090,2.43871,2.029032
207110,2.432258,2.048387
207130,2.432258,2.093548
207150,2.406452,2.135484
207170,2.380645,2.164516
207190,2.374194,2.167742
207210,2.367742,2.187097
207230,2.345161,2.16129
207250,2.351613,2.13871
207270,2.316129,2.122581
207290,2.316129,2.080645
207310,2.303226,2.058064
207330,2.3,2.058064
207350,2.306452,2.048387
207370,2.309677,2.041935
207410,2.303226,2.06129
207430,2.3,2.077419
207450,2.254839,2.03871
207470,2.245161,2.048387
207490,2.270968,2.032258
207510,2.248387,2.029032
207530,2.251613,2.022581
207550,2.277419,2.035484
207570,2.270968,2.032258
207590,2.287097,2.03871
207610,2.3,2.054839
207630,2.303226,2.041935
207650,2.309677,2.045161
207670,2.319355,2.051613
207690,2.322581,2.058064
207710,2.309677,2.06129
207730,2.303226,2.06129
207750,2.322581,2.054839
207770,2.325806,2.016129
207790,2.329032,2.019355
207810,2.387097,2.058064
207830,2.4,2.058064
207850,2.390323,2.070968
207870,2.396774,2.080645
207890,2.409678,2.051613
207910,2.432258,2.029032
207930,2.419355,2.016129
207950,2.435484,2.012903
207970,2.416129,2.025806
207990,2.403226,2.054839
208010,2.393548,2.090322
208030,2.380645,2.109677
208050,2.370968,2.132258
208070,2.364516,2.13871
208090,2.348387,2.13871
208130,2.335484,2.116129
208150,2.3,2.096774
208170,2.316129,2.077419
208190,2.254839,2.022581
208210,2.258065,2.016129
208230,2.245161,2.025806
208250,2.26129,2.045161
208270,2.287097,2.070968
208290,2.293548,2.083871
208310,2.293548,2.112903
208330,2.3,2.112903
208350,2.296774,2.125806
208370,2.303226,2.125806
208390,2.306452,2.125806
208410,2.306452,2.129032
208430,2.306452,2.135484
208450,2.3,2.13871
208470,2.293548,2.125806
208490,2.303226,2.135484
208510,2.303226,2.141935
208530,2.312903,2.193548
208550,2.358064,2.225806
208570,2.36129,2.219355
208590,2.348387,2.222581
208610,2.364516,2.209677
208630,2.341935,2.196774
208650,2.33871,2.2
208670,2.335484,2.203226
208690,2.309677,2.219355
208710,2.312903,2.209677
208730,2.325806,2.193548
208750,2.345161,2.148387
208770,2.364516,2.106452
208790,2.393548,2.077419
208810,2.393548,2.080645
208850,2.390323,2.087097
208870,2.383871,2.125806
208890,2.377419,2.167742
208910,2.309677,2.164516
208930,2.3,2.177419
208950,2.3,2.187097
208970,2.3,2.164516
208990,2.293548,2.13871
209010,2.296774,2.109677
209030,2.296774,2.083871
209050,2.296774,2.054839
209070,2.312903,2.058064
209090,2.312903,2.048387
209110,2.312903,2.054839
209130,2.306452,2.054839
209150,2.3,2.06129
209170,2.3,2.067742
209190,2.3,2.067742
209210,2.296774,2.064516
209230,2.3,2.058064
209250,2.293548,2.054839
209270,2.354839,2.090322
209290,2.348387,2.093548
209310,2.348387,2.090322
209330,2.354839,2.083871
209350,2.329032,2.1
209370,2.319355,2.093548
209390,2.367742,2.096774
209410,2.316129,2.06129
209430,2.3,2.048387
209450,2.306452,2.051613
209470,2.309677,2.067742
209490,2.316129,2.06129
209510,2.329032,2.054839
209530,2.33871,2.035484
209570,2.364516,2.009677
209590,2.387097,1.983871
209610,2.412903,1.980645
209630,2.393548,1.948387
209650,2.335484,1.970968
209670,2.325806,2.032258
209690,2.319355,2.070968
209710,2.319355,2.093548
209730,2.329032,2.122581
209750,2.329032,2.135484
209770,2.319355,2.135484
209790,2.335484,2.129032
209810,2.309677,2.093548
209830,2.306452,2.064516
209850,2.303226,2.025806
209870,2.296774,1.983871
209890,2.287097,1.96129
209910,2.287097,1.974194
209930,2.290323,2.019355
209950,2.293548,2.070968
209971,2.287097,2.125806
209990,2.341935,2.196774
210010,2.332258,2.206452
210030,2.322581,2.193548
210050,2.319355,2.174194
210070,2.329032,2.13871
210090,2.293548,2.106452
210110,2.290323,2.1
210130,2.251613,2.112903
210150,2.258065,2.106452
210170,2.277419,2.132258
210190,2.251613,2.116129
210210,2.254839,2.103226
210230,2.254839,2.1
210250,2.254839,2.103226
210270,2.26129,2.119355
210310,2.270968,2.125806
210330,2.293548,2.116129
210350,2.319355,2.080645
210370,2.277419,2
210390,2.3,1.980645
210410,2.293548,1.983871
210430,2.303226,2.009677
210450,2.319355,2.051613
210470,2.309677,2.103226
210490,2.316129,2.141935
210510,2.319355,2.158064
210530,2.309677,2.16129
210550,2.316129,2.16129
210570,2.309677,2.141935
210590,2.306452,2.119355
210610,2.316129,2.096774
210630,2.303226,2.070968
210650,2.303226,2.054839
210670,2.306452,2.041935
210690,2.316129,2.03871
210710,2.312903,2.083871
210730,2.370968,2.090322
210750,2.370968,2.083871
210770,2.367742,2.093548
210790,2.358064,2.090322
210810,2.348387,2.070968
210830,2.33871,2.064516
210850,2.335484,2.064516
210870,2.322581,2.064516
210890,2.312903,2.064516
210910,2.312903,2.064516
210930,2.312903,2.058064
210950,2.316129,2.058064
210970,2.322581,2.064516
210990,2.316129,2.070968
211030,2.316129,2.077419
211050,2.325806,2.074193
211070,2.348387,2.048387
211090,2.309677,1.990323
211110,2.335484,1.964516
211130,2.345161,1.958064
211150,2.358064,1.967742
211170,2.358064,2.016129
211190,2.358064,2.03871
211210,2.348387,2.119355
211230,2.358064,2.129032
211250,2.364516,2.170968
211270,2.335484,2.164516
211290,2.345161,2.154839
211310,2.335484,2.135484
211330,2.329032,2.119355
211350,2.325806,2.090322
211370,2.319355,2.067742
211390,2.319355,2.048387
211410,2.316129,2.048387
211430,2.325806,2.06129
211450,2.387097,2.122581
211470,2.370968,2.129032
211490,2.36129,2.148387
211510,2.354839,2.135484
211530,2.335484,2.116129
211550,2.316129,2.087097
211570,2.303226,2.090322
211590,2.306452,2.06129
211610,2.296774,2.058064
211630,2.290323,2.058064
211650,2.290323,2.054839
211670,2.290323,2.054839
211690,2.287097,2.054839
211710,2.287097,2.058064
211750,2.287097,2.067742
211770,2.290323,2.074193
211790,2.306452,2.064516
211810,2.325806,1.993548
211830,2.290323,1.967742
211850,2.316129,1.93871
211870,2.325806,1.93871
211890,2.325806,1.967742
211910,2.332258,2.022581
211930,2.332258,2.070968
211950,2.312903,2.122581